File,CTRL,CCF_RANK_ORIG,CCF_ACRO_ORIG,CCF_NAME_ORIG,CCF_NAME,CCF_PUBLISHER_ORIG,CCF_URL_ORIG,SPRINGER_PROPERTY_ORG,SPRINGER_ID_ORG,SPRINGER_NAME_ORG,SPRINGER_NAME,NAME_UPPER_ALL,MATCHING_CASE,COMMENT
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,IPCO,International Conference on Integer Programming and Combinatorial Optimization,INTERNATIONAL CONFERENCE ON INTEGER PROGRAMMING AND COMBINATORIAL OPTIMIZATION,Springer,http://www.informatik.uni-trier.de/~ley/db/conf/ipco/index. html,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/ipco,International Conference on Integer Programming and Combinatorial Optimization,INTERNATIONAL CONFERENCE ON INTEGER PROGRAMMING AND COMBINATORIAL OPTIMIZATION,INTERNATIONAL CONFERENCE ON INTEGER PROGRAMMING AND COMBINATORIAL OPTIMIZATION,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,ISAAC,International Symposium on Algorithms and Computation,INTERNATIONAL SYMPOSIUM ON ALGORITHMS AND COMPUTATION,Springer,www.csie.ntu.edu.tw/isaac2012,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/isaac,International Symposium on Algorithms and Computation,INTERNATIONAL SYMPOSIUM ON ALGORITHMS AND COMPUTATION,INTERNATIONAL SYMPOSIUM ON ALGORITHMS AND COMPUTATION,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,A,ISCA,International Symposium on Computer Architecture,INTERNATIONAL SYMPOSIUM ON COMPUTER ARCHITECTURE,ACM /IEEE,http://www.acm.org/pubs/contents/proceedings/series/isca/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/isca,International Symposium on Computer Architecture,INTERNATIONAL SYMPOSIUM ON COMPUTER ARCHITECTURE,INTERNATIONAL SYMPOSIUM ON COMPUTER ARCHITECTURE,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,B,IWQoS,International Workshop on Quality of Service,INTERNATIONAL WORKSHOP ON QUALITY OF SERVICE,IEEE,http://www.sigmobile.org/mobisys/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/iwqos,International Workshop on Quality of Service,INTERNATIONAL WORKSHOP ON QUALITY OF SERVICE,INTERNATIONAL WORKSHOP ON QUALITY OF SERVICE,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,LOPSTR,International Symposium on Logic-based Program Synthesis and Transformation,INTERNATIONAL SYMPOSIUM ON LOGIC-BASED PROGRAM SYNTHESIS AND TRANSFORMATION,Springer,http://www.cs.man.ac.uk/~kung-kiu/lopstr/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/lopstr,International Symposium on Logic-Based Program Synthesis and Transformation,INTERNATIONAL SYMPOSIUM ON LOGIC-BASED PROGRAM SYNTHESIS AND TRANSFORMATION,INTERNATIONAL SYMPOSIUM ON LOGIC-BASED PROGRAM SYNTHESIS AND TRANSFORMATION,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,MDM,International Conference on Mobile Data Management,INTERNATIONAL CONFERENCE ON MOBILE DATA MANAGEMENT,IEEE,http://mdm2013.dico.unimi.it/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/mdm,International Conference on Mobile Data Management,INTERNATIONAL CONFERENCE ON MOBILE DATA MANAGEMENT,INTERNATIONAL CONFERENCE ON MOBILE DATA MANAGEMENT,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,MMM,International Conference on Multimedia Modeling,INTERNATIONAL CONFERENCE ON MULTIMEDIA MODELING,Springer,http://mmm2013.org/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/mmm,International Conference on Multimedia Modeling,INTERNATIONAL CONFERENCE ON MULTIMEDIA MODELING,INTERNATIONAL CONFERENCE ON MULTIMEDIA MODELING,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,B,MoDELS,International Conference on Model Driven Engineering Languages and Systems,INTERNATIONAL CONFERENCE ON MODEL DRIVEN ENGINEERING LANGUAGES AND SYSTEMS,"ACM, IEEE",http://www.modelsconference.org/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/models,International Conference on Model Driven Engineering Languages and Systems,INTERNATIONAL CONFERENCE ON MODEL DRIVEN ENGINEERING LANGUAGES AND SYSTEMS,INTERNATIONAL CONFERENCE ON MODEL DRIVEN ENGINEERING LANGUAGES AND SYSTEMS,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,NPC,IFIP International Conference on Network and Parallel Computing,IFIP INTERNATIONAL CONFERENCE ON NETWORK AND PARALLEL COMPUTING,Springer,http://grid.hust.edu.cn/npc2013/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/npc,IFIP International Conference on Network and Parallel Computing,IFIP INTERNATIONAL CONFERENCE ON NETWORK AND PARALLEL COMPUTING,IFIP INTERNATIONAL CONFERENCE ON NETWORK AND PARALLEL COMPUTING,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,PACIFIC-ASIA CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING,Springer,http://pakdd2013.pakdd.org/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/pakdd,Pacific-Asia Conference on Knowledge Discovery and Data Mining,PACIFIC-ASIA CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING,PACIFIC-ASIA CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,PRICAI,Pacific Rim International Conference on Artificial Intelligence,PACIFIC RIM INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE,Springer,http://ktw.mimos.my/pricai2012/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/pricai,Pacific Rim International Conference on Artificial Intelligence,PACIFIC RIM INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE,PACIFIC RIM INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,B,RECOMB,International Conference on Research in Computational Molecular Biology,INTERNATIONAL CONFERENCE ON RESEARCH IN COMPUTATIONAL MOLECULAR BIOLOGY,Springer,http://recomb.org/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/recomb,International Conference on Research in Computational Molecular Biology,INTERNATIONAL CONFERENCE ON RESEARCH IN COMPUTATIONAL MOLECULAR BIOLOGY,INTERNATIONAL CONFERENCE ON RESEARCH IN COMPUTATIONAL MOLECULAR BIOLOGY,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,RTA,International Conference on Rewriting Techniques and Applications,INTERNATIONAL CONFERENCE ON REWRITING TECHNIQUES AND APPLICATIONS,Springer,http://rewriting.loria.fr/rta/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/rta,International Conference on Rewriting Techniques and Applications,INTERNATIONAL CONFERENCE ON REWRITING TECHNIQUES AND APPLICATIONS,INTERNATIONAL CONFERENCE ON REWRITING TECHNIQUES AND APPLICATIONS,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,B,SAS,International Static Analysis Symposium,INTERNATIONAL STATIC ANALYSIS SYMPOSIUM,Springer,http://research.microsoft.com/en-us/events/sas2013/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/sas,International Static Analysis Symposium,INTERNATIONAL STATIC ANALYSIS SYMPOSIUM,INTERNATIONAL STATIC ANALYSIS SYMPOSIUM,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,SEC,IFIP International Information Security Conference,IFIP INTERNATIONAL INFORMATION SECURITY CONFERENCE,Springer,http://www.sec2013.org/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/sec,IFIP International Information Security Conference,IFIP INTERNATIONAL INFORMATION SECURITY CONFERENCE,IFIP INTERNATIONAL INFORMATION SECURITY CONFERENCE,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,SPIN,International SPIN Workshop on Model Checking of Software,INTERNATIONAL SPIN WORKSHOP ON MODEL CHECKING OF SOFTWARE,Springer,http://spin2013.cs.sunysb.edu/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/spin,International SPIN Workshop on Model Checking of Software,INTERNATIONAL SPIN WORKSHOP ON MODEL CHECKING OF SOFTWARE,INTERNATIONAL SPIN WORKSHOP ON MODEL CHECKING OF SOFTWARE,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,HiPC,International Conference on High Performance Computing,INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE COMPUTING,IEEE/ ACM,http://www.hipc.org/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/supercomputing,International Conference on High Performance Computing,INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE COMPUTING,INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE COMPUTING,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,B,TCC,Theory of Cryptography Conference,THEORY OF CRYPTOGRAPHY CONFERENCE,Springer,http://tcc2013.com/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/tcc,Theory of Cryptography Conference,THEORY OF CRYPTOGRAPHY CONFERENCE,THEORY OF CRYPTOGRAPHY CONFERENCE,,
